
2022/03/24 (02:06:52) | ===> btop++ v.1.2.5
2022/03/24 (02:06:52) | ERROR: Stall in Runner thread, restarting!
2022/03/27 (01:04:09) | ERROR: Stall in Runner thread, restarting!

2022/04/11 (00:23:18) | ===> btop++ v.1.2.5
2022/04/11 (00:23:18) | ERROR: Stall in Runner thread, restarting!

2022/04/14 (22:14:36) | ===> btop++ v.1.2.5
2022/04/14 (22:14:36) | ERROR: Stall in Runner thread, restarting!

2022/04/28 (05:02:00) | ===> btop++ v.1.2.6
2022/04/28 (05:02:00) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (05:02:10) | ERROR: Stall in Runner thread, restarting!

2022/04/29 (12:33:44) | ===> btop++ v.1.2.6
2022/04/29 (12:33:44) | ERROR: Stall in Runner thread, restarting!

2022/04/29 (12:33:44) | ===> btop++ v.1.2.6
2022/04/29 (12:33:44) | ERROR: Stall in Runner thread, restarting!
2022/04/29 (12:34:57) | WARNING: Failed to join _runner thread on exit!
2022/04/29 (15:29:23) | WARNING: Failed to join _runner thread on exit!

2022/04/30 (18:59:06) | ===> btop++ v.1.2.6
2022/04/30 (18:59:06) | ERROR: Stall in Runner thread, restarting!

2022/05/02 (11:31:39) | ===> btop++ v.1.2.6
2022/05/02 (11:31:39) | INFO: Logger set to INFO
2022/05/02 (11:31:40) | INFO: Logger set to DEBUG
2022/05/02 (11:31:46) | DEBUG: Loading theme file: /usr/local/share/btop/themes/dusklight.theme
2022/05/02 (11:31:46) | DEBUG: Loading theme file: /usr/local/share/btop/themes/gruvbox_dark_v2.theme
2022/05/02 (11:31:46) | DEBUG: Loading theme file: /usr/local/share/btop/themes/HotPurpleTrafficLight.theme
2022/05/02 (11:31:47) | DEBUG: Loading theme file: /usr/local/share/btop/themes/dracula.theme
2022/05/02 (11:31:47) | DEBUG: Loading theme file: /usr/local/share/btop/themes/flat-remix-light.theme
2022/05/02 (11:31:48) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2022/05/02 (11:31:48) | DEBUG: Loading theme file: /usr/local/share/btop/themes/flat-remix-light.theme
2022/05/02 (11:31:52) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2022/05/04 (03:27:01) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme

2022/05/06 (01:38:45) | ===> btop++ v.1.2.6
2022/05/06 (01:38:45) | ERROR: Stall in Runner thread, restarting!
2022/05/06 (03:42:19) | WARNING: Failed to join _runner thread on exit!
2022/05/06 (16:41:42) | DEBUG: Writing new config file
2022/05/06 (16:41:42) | INFO: Quitting! Runtime: 4d 18:42:44

2022/05/06 (19:55:21) | ===> btop++ v.1.2.6
2022/05/06 (19:55:21) | INFO: Logger set to DEBUG
2022/05/06 (19:55:21) | DEBUG: Using locale en_US.UTF-8
2022/05/06 (19:55:21) | INFO: Running on /dev/pts/18
2022/05/06 (19:55:21) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2022/05/06 (19:55:26) | INFO: Quitting! Runtime: 00:00:05

2022/05/06 (20:02:29) | ===> btop++ v.1.2.6
2022/05/06 (20:02:29) | INFO: Logger set to DEBUG
2022/05/06 (20:02:29) | DEBUG: Using locale en_US.UTF-8
2022/05/06 (20:02:29) | INFO: Running on /dev/pts/19
2022/05/06 (20:02:29) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2022/05/06 (20:05:06) | DEBUG: Writing new config file
2022/05/06 (20:05:06) | INFO: Quitting! Runtime: 00:02:37

2022/05/07 (04:21:44) | ===> btop++ v.1.2.6
2022/05/07 (04:21:44) | INFO: Logger set to DEBUG
2022/05/07 (04:21:44) | DEBUG: Using locale en_US.UTF-8
2022/05/07 (04:21:44) | INFO: Running on /dev/pts/18
2022/05/07 (04:21:44) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2022/05/07 (04:21:58) | DEBUG: Writing new config file
2022/05/07 (04:21:58) | INFO: Quitting! Runtime: 00:00:14

2022/05/10 (03:18:46) | ===> btop++ v.1.2.6
2022/05/10 (03:18:46) | INFO: Logger set to DEBUG
2022/05/10 (03:18:46) | DEBUG: Using locale en_US.UTF-8
2022/05/10 (03:18:46) | INFO: Running on /dev/pts/29
2022/05/10 (03:18:46) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2022/05/10 (03:19:24) | DEBUG: Writing new config file
2022/05/10 (03:19:24) | INFO: Quitting! Runtime: 00:00:38

2022/05/10 (03:58:58) | ===> btop++ v.1.2.6
2022/05/10 (03:58:58) | INFO: Logger set to DEBUG
2022/05/10 (03:58:58) | DEBUG: Using locale en_US.UTF-8
2022/05/10 (03:58:58) | INFO: Running on /dev/pts/29
2022/05/10 (03:58:59) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2022/05/10 (03:59:50) | DEBUG: Writing new config file
2022/05/10 (03:59:50) | INFO: Quitting! Runtime: 00:00:52

2022/05/10 (04:34:43) | ===> btop++ v.1.2.6
2022/05/10 (04:34:43) | ERROR: Stall in Runner thread, restarting!
2022/05/10 (04:35:17) | ERROR: Stall in Runner thread, restarting!

2022/05/10 (04:36:09) | ===> btop++ v.1.2.6
2022/05/10 (04:36:09) | INFO: Logger set to DEBUG
2022/05/10 (04:36:09) | DEBUG: Using locale en_US.UTF-8
2022/05/10 (04:36:09) | INFO: Running on /dev/pts/0
2022/05/10 (04:36:09) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2022/05/10 (04:36:17) | DEBUG: Writing new config file
2022/05/10 (04:36:17) | INFO: Quitting! Runtime: 00:00:08

2022/05/10 (04:39:25) | ===> btop++ v.1.2.6
2022/05/10 (04:39:25) | INFO: Logger set to DEBUG
2022/05/10 (04:39:25) | DEBUG: Using locale en_US.UTF-8
2022/05/10 (04:39:25) | INFO: Running on /dev/pts/0
2022/05/10 (04:39:25) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2022/05/10 (04:39:33) | DEBUG: Writing new config file
2022/05/10 (04:39:33) | INFO: Quitting! Runtime: 00:00:08

2022/05/10 (05:48:47) | ===> btop++ v.1.2.6
2022/05/10 (05:48:47) | INFO: Logger set to DEBUG
2022/05/10 (05:48:47) | DEBUG: Using locale en_US.UTF-8
2022/05/10 (05:48:47) | INFO: Running on /dev/pts/22
2022/05/10 (05:48:47) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme

2022/05/10 (08:44:12) | ===> btop++ v.1.2.6
2022/05/10 (08:44:12) | INFO: Logger set to DEBUG
2022/05/10 (08:44:12) | DEBUG: Using locale en_US.UTF-8
2022/05/10 (08:44:12) | INFO: Running on /dev/pts/10
2022/05/10 (08:44:12) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme

2022/05/10 (10:33:59) | ===> btop++ v.1.2.6
2022/05/10 (10:33:59) | INFO: Logger set to DEBUG
2022/05/10 (10:33:59) | DEBUG: Using locale en_US.UTF-8
2022/05/10 (10:33:59) | INFO: Running on /dev/pts/8
2022/05/10 (10:33:59) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2022/05/10 (10:34:44) | DEBUG: Writing new config file
2022/05/10 (10:34:44) | INFO: Quitting! Runtime: 00:00:45
2022/05/10 (14:26:48) | DEBUG: Writing new config file
2022/05/10 (14:26:48) | INFO: Quitting! Runtime: 05:42:36

2022/05/16 (16:23:36) | ===> btop++ v.1.2.6
2022/05/16 (16:23:36) | INFO: Logger set to DEBUG
2022/05/16 (16:23:36) | DEBUG: Using locale en_US.UTF-8
2022/05/16 (16:23:36) | INFO: Running on /dev/pts/7
2022/05/16 (16:23:36) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2022/05/17 (17:24:39) | DEBUG: Writing new config file
2022/05/17 (17:24:39) | INFO: Quitting! Runtime: 1d 01:01:03

2022/05/18 (00:37:13) | ===> btop++ v.1.2.6
2022/05/18 (00:37:13) | INFO: Logger set to DEBUG
2022/05/18 (00:37:13) | DEBUG: Using locale en_US.UTF-8
2022/05/18 (00:37:13) | INFO: Running on /dev/pts/1
2022/05/18 (00:37:13) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2022/05/18 (00:55:22) | INFO: Quitting! Runtime: 00:18:09

2022/05/23 (14:18:42) | ===> btop++ v.1.2.6
2022/05/23 (14:18:42) | INFO: Logger set to DEBUG
2022/05/23 (14:18:42) | DEBUG: Using locale en_US.UTF-8
2022/05/23 (14:18:42) | INFO: Running on /dev/pts/9
2022/05/23 (14:18:42) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2022/05/23 (14:18:44) | INFO: Quitting! Runtime: 00:00:02

2022/05/25 (02:50:58) | ===> btop++ v.1.2.6
2022/05/25 (02:50:58) | INFO: Logger set to DEBUG
2022/05/25 (02:50:58) | DEBUG: Using locale en_US.UTF-8
2022/05/25 (02:50:58) | INFO: Running on /dev/pts/4
2022/05/25 (02:50:58) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2022/05/25 (04:39:51) | DEBUG: Writing new config file
